ydgdp,cs_index_ret,cs_index_vol,savgnatshock,savgpolshock,savgrevshock,savgtershock,countrycode,timecode
13.984,.1176241,-2.758021,.0713466,0,0,0,3,104
10.46912,.2302254,-2.785584,0,0,0,0,3,105
7.25636,.6179488,-2.420889,0,0,0,0,3,106
4.233637,.5838466,-2.276733,0,0,0,0,3,107
1.414343,.531732,-2.093234,0,0,0,0,3,108
1.893561,.5807604,-1.804086,0,0,0,0,3,109
2.429014,.8292039,-1.834467,0,0,0,0,3,110
3.067556,1.017296,-1.709944,0,0,0,0,3,111
3.667485,.9450219,-1.334105,0,0,0,0,3,112
3.693497,.8718831,-1.157684,0,0,0,0,3,113
3.318575,1.112025,-1.005584,0,0,0,0,3,114
2.695968,1.156016,-.8892827,0,0,0,0,3,115
1.910184,.5628005,-.619859,0,0,0,0,3,116
1.559434,.8762851,-.4745362,0,0,0,0,3,117
1.711447,.0621565,-.3014377,0,0,0,0,3,118
2.315616,-.5432507,-.3146466,0,0,0,0,3,119
3.478466,-.0935053,-.5791506,.0478508,0,0,0,3,120
4.148085,-.3952389,-.6358349,.0478508,0,0,0,3,121
4.501546,-.5315547,-.1189364,.0478508,0,0,0,3,122
4.208785,-.3269854,-.1236013,.0478508,0,0,0,3,123
3.604592,-.117203,.0618111,0,0,0,0,3,124
2.954807,-.5011769,.108828,0,0,0,0,3,125
2.283435,-.4819692,-.3255383,0,0,0,0,3,126
1.721367,-.6105034,-.1422413,0,0,0,0,3,127
.8043445,-1.112854,.1109379,0,0,0,0,3,128
.3578666,-.5961947,.0114314,0,0,0,0,3,129
.2363231,-.3162929,-.1180233,0,0,0,0,3,130
.5871078,-.532644,-.001239,0,0,0,0,3,131
1.350482,-.9791018,.4079676,0,0,0,0,3,132
1.634913,-1.062476,.6925872,0,0,0,0,3,133
1.493943,-1.586282,1.022978,0,0,0,0,3,134
1.187719,-.7236392,1.002086,0,0,0,0,3,135
.8032587,.3938521,.4469314,0,0,0,0,3,136
1.153537,.4305216,.130601,0,0,0,0,3,137
1.890233,1.221382,-.4634117,0,0,0,0,3,138
2.627876,.7342164,-.8766742,0,0,0,0,3,139
3.221932,.6821098,-1.104448,0,0,0,0,3,140
3.081193,.7837673,-1.352885,0,0,0,0,3,141
2.666575,.7434203,-1.559852,0,0,0,0,3,142
2.064394,.6821856,-1.640925,0,0,0,0,3,143
1.735878,.8240598,-1.679167,0,0,0,0,3,144
1.837517,.6569557,-1.5858,0,0,0,0,3,145
2.003686,.7102532,-1.348215,.0832909,0,0,0,3,146
2.388698,.5140867,-.8801734,.0832909,0,0,0,3,147
2.631333,.4278542,-.7516631,.0832909,0,0,0,3,148
2.792798,.4736034,-.8096769,.0971119,0,0,0,3,149
2.950598,.3362542,-.83996,.013821,0,0,0,3,150
2.973772,.6077864,-1.24,.013821,0,0,0,3,151
2.842719,.1557066,-.9089526,.013821,0,0,0,3,152
2.616753,-.2238574,-.5451937,0,0,0,0,3,153
2.436908,-.7096757,-.0166267,0,0,0,0,3,154
2.043174,-1.180527,.1993385,0,0,0,0,3,155
.9803694,-1.503887,.5132878,0,0,0,0,3,156
-.621111,-2.329228,1.180254,0,0,0,0,3,157
-2.353032,-2.349798,1.23044,0,0,0,0,3,158
-3.347804,-1.404394,1.540607,0,0,0,0,3,159
-2.840559,-.3000546,1.374633,0,0,0,0,3,160
-1.363703,.6662816,.8404449,0,0,0,0,3,161
.5173454,1.170342,.4636361,0,0,0,0,3,162
1.7876,.2979605,.3084045,0,0,0,0,3,163
2.296605,-.0481475,.1784809,0,0,0,0,3,164
2.528454,.0449338,-.1237471,0,0,0,0,3,165
2.283049,-.04102,-.2478044,0,0,0,0,3,166
2.065747,.1128641,-.618402,0,0,0,0,3,167
1.753333,-.6368628,-.0568118,0,0,0,0,3,168
1.200914,-.8101124,.4901023,0,0,0,0,3,169
.7025492,-.5650228,.7866207,0,0,0,0,3,170
.299678,-.5895022,.9180243,0,0,0,0,3,171
-.1362417,.1335998,.6526084,0,0,0,0,3,172
-.3973797,.2694738,.1181078,0,0,0,0,3,173
-.3822657,.0951835,-.2188578,0,0,0,0,3,174
-.1968469,.1459901,-.3521513,0,0,0,0,3,175
.200525,.2297913,-.5880579,0,0,0,0,3,176
.7593918,.4010233,-.6088875,0,0,0,0,3,177
1.092071,.4300709,-.5608224,0,0,0,0,3,178
1.267996,.6241163,-.7246627,0,0,0,0,3,179
1.342633,.3519775,-.8729188,0,0,0,0,3,180
1.290165,.1151919,-.5904669,0,0,0,0,3,181
1.349939,.3591357,-.5110045,.1344067,0,0,0,3,182
1.352172,.1666643,-.4557309,.1344067,0,0,0,3,183
1.394551,-.0291405,-.2355381,.1344067,0,0,0,3,184
1.375787,.3087327,-.2241036,.1344067,0,0,1.370508,3,185
1.371883,-.3477178,.0073828,0,0,0,1.370508,3,186
1.462162,-.1984293,.1435856,0,0,0,1.370508,3,187
1.455364,.1362058,-.1502455,0,0,0,1.370508,3,188
1.583992,-.0805539,-.3148747,0,0,0,0,3,189
1.576465,.2874708,-.9166539,0,0,0,0,3,190
1.57804,.1614493,-1.163597,0,0,0,0,3,191
1.693105,.126952,-1.232448,0,0,0,0,3,192
1.393889,-1.07874,1.538083,0,0,0,0,5,105
-.3806946,.424234,1.126346,0,0,0,0,5,106
.6921797,.5013853,1.030891,0,0,0,0,5,107
2.141771,.0699497,.8001156,0,0,0,0,5,108
3.290359,.8593042,.5663171,0,0,0,0,5,109
4.547244,1.092569,.4610037,0,0,0,0,5,110
3.500995,1.635926,.4606258,0,0,0,0,5,111
3.335372,1.498642,.8679647,0,0,0,0,5,112
2.62695,.5207894,1.469291,0,0,0,0,5,113
1.784671,.3276152,1.524214,.0855819,0,0,0,5,114
1.393879,-1.263645,1.631451,.0855819,0,0,0,5,115
.0590688,-2.331127,1.989464,.0855819,0,0,0,5,116
-.0284339,-1.555932,2.055507,.0855819,0,0,0,5,117
-.5953915,-.771307,2.544195,0,0,0,0,5,118
-.78939,.2452724,2.516386,0,0,0,0,5,119
.2505201,1.304965,2.165343,0,0,0,0,5,120
1.229062,2.670392,1.786425,0,0,0,0,5,121
2.411256,1.588732,1.067982,0,0,0,0,5,122
3.696807,1.118146,1.04043,0,0,0,0,5,123
4.190828,1.16659,.9736807,0,0,0,0,5,124
3.951355,-.3797104,.900969,0,0,0,0,5,125
3.557871,-.5336674,.8876467,0,0,0,0,5,126
2.544587,-.388236,.7283168,0,0,0,0,5,127
1.28587,-1.261029,.9183087,0,0,0,0,5,128
.5105899,-.4156219,1.070042,0,0,0,0,5,129
.4142886,-.3832379,1.001925,0,0,0,0,5,130
1.24292,-.8646007,1.090663,0,0,0,0,5,131
2.605939,-.5943872,1.091083,0,0,0,0,5,132
3.165401,-.7195709,1.07358,0,0,0,0,5,133
2.896318,-.7886543,1.095389,0,0,0,0,5,134
2.102748,.1272778,1.026855,0,0,0,0,5,135
1.157663,1.473526,.8462467,0,0,0,0,5,136
1.592857,1.866905,.6810402,.0351916,0,0,0,5,137
2.905041,1.943497,.7865994,.0351916,0,0,0,5,138
4.294016,1.380038,.7433537,.0351916,0,0,0,5,139
5.554224,1.189964,.7664177,.0351916,0,0,0,5,140
5.522202,.6114032,.6598001,0,0,0,0,5,141
5.077098,.6584311,.5300363,0,0,0,0,5,142
4.048006,.5382432,.5451337,0,0,0,0,5,143
3.115306,.60876,.413985,0,0,0,0,5,144
3.163639,.3974256,.5160652,0,0,0,0,5,145
2.58994,.8079264,.5152757,0,0,0,0,5,146
3.218397,1.021161,.5950399,0,0,0,0,5,147
3.854057,.4525876,.6054793,0,0,0,0,5,148
4.09897,1.007956,.6316133,.0809083,0,0,0,5,149
5.171754,.8002554,.9293411,.0809083,0,0,0,5,150
5.484325,1.553333,.8000063,.0809083,0,0,0,5,151
5.899993,1.767957,1.006688,.0809083,0,0,0,5,152
6.169979,1.067509,1.131032,0,0,0,0,5,153
6.179057,.5098268,1.043452,0,0,0,0,5,154
6.435732,-.059973,1.099509,0,0,0,0,5,155
5.041512,-1.334852,1.347458,0,0,0,0,5,156
2.89301,-2.31664,1.838924,0,0,0,0,5,157
.6929061,-1.887091,1.81657,0,0,0,0,5,158
-1.402753,-1.241891,1.871254,0,0,0,0,5,159
-.3102379,.4166316,1.577654,0,0,0,0,5,160
2.47826,1.73089,.870944,0,0,0,0,5,161
5.196716,1.720757,.620802,0,0,0,0,5,162
7.290202,.5257623,.3396235,0,0,0,0,5,163
7.276885,.2965809,.2423167,0,0,0,0,5,164
6.096975,-.0466255,.0685937,0,0,0,0,5,165
4.80599,-.3041688,-.0786897,0,0,0,0,5,166
3.659836,-.0752347,-.1580988,0,0,0,0,5,167
2.705,-.975652,.086131,0,0,0,0,5,168
1.886145,-.8535938,.2407472,0,0,0,0,5,169
1.206624,-.3533884,.2290324,0,0,0,0,5,170
.8993737,-.6629747,.3816857,0,0,0,0,5,171
1.020213,.155861,.9925141,0,0,0,0,5,172
1.501906,-.0020268,1.296648,0,0,0,0,5,173
2.331493,-.5673828,1.564214,0,0,0,0,5,174
2.782886,-.5449263,1.762065,0,0,0,0,5,175
2.965277,-.6621345,1.710902,0,0,0,0,5,176
2.991763,-.6673105,1.833355,0,0,0,0,5,177
2.033197,-.6377337,1.943963,0,0,0,0,5,178
1.179674,.0352256,1.953731,0,0,0,0,5,179
.5041992,-.1398866,1.896499,0,0,0,0,5,180
-.5481341,-.5331202,2.100929,0,0,0,0,5,181
-1.289796,-.5526192,2.152382,0,0,0,0,5,182
-2.223729,-.7124454,2.160562,0,0,0,0,5,183
-3.614486,-1.236425,2.229361,0,0,0,0,5,184
-4.58495,-.9794904,2.288921,0,0,0,0,5,185
-4.740553,-.4906764,2.543783,0,0,0,0,5,186
-4.340278,-.3590158,2.615476,0,0,0,0,5,187
-3.530694,.4907758,2.586403,0,0,0,0,5,188
-2.313044,.6678782,2.354092,0,0,0,0,5,189
-1.215333,.6361732,2.109959,0,0,0,0,5,190
-.1770104,.482904,2.243471,0,0,0,0,5,191
.96608,.6836057,2.127571,0,0,0,0,5,192
2.726742,-.1041887,-.4780386,0,0,0,0,6,69
3.087904,.4430623,-.5609028,0,0,0,0,6,70
4.449388,.3757488,-.5108999,0,0,0,0,6,71
6.342094,.6119972,-.5653387,0,0,0,0,6,72
5.71128,-.2919011,.3917845,.0895521,0,0,0,6,73
5.643778,-.8024944,.3558375,.0895521,0,0,0,6,74
4.295413,-.74591,.3293592,.0895521,0,0,0,6,75
3.807197,-1.08656,.3001299,.0895521,0,0,0,6,76
3.339662,-.2149971,-.5329642,0,0,0,0,6,77
2.625714,-.2440109,-.6642655,0,0,0,0,6,78
2.548364,-.2499741,-.7074041,0,0,0,0,6,79
1.844131,.1377618,-.7136867,0,0,0,0,6,80
1.51278,.0847299,-.6421397,0,0,0,0,6,81
.6412999,-.3288314,-.6186681,0,0,0,0,6,82
-.2025987,-.5763333,-.4034452,0,0,0,0,6,83
-1.188773,-1.1629,-.2701717,0,0,0,0,6,84
-3.430223,-1.219952,-.2580224,0,0,0,0,6,85
-2.746514,-.7159985,-.089425,0,0,0,0,6,86
-1.746296,-.5675129,-.2845379,.0564502,0,0,0,6,87
